电影名称,评分,评价人数
肖申克的救赎,9.6,1302900人评价
霸王别姬,9.6,962061人评价
这个杀手不太冷,9.4,1194922人评价
阿甘正传,9.4,1026835人评价
美丽人生,9.5,600965人评价
泰坦尼克号,9.3,963004人评价
千与千寻,9.3,955580人评价
辛德勒的名单,9.5,537268人评价
盗梦空间,9.3,1040092人评价
忠犬八公的故事,9.3,678992人评价
机器人总动员,9.3,691539人评价
三傻大闹宝莱坞,9.2,930867人评价
海上钢琴师,9.2,771904人评价
放牛班的春天,9.3,642819人评价
大话西游之大圣娶亲,9.2,715378人评价
楚门的世界,9.2,701658人评价
龙猫,9.2,629945人评价
星际穿越,9.2,716522人评价
教父,9.2,469049人评价
熔炉,9.3,408073人评价
无间道,9.1,587528人评价
当幸福来敲门,9.0,752502人评价
疯狂动物城,9.2,793179人评价
怦然心动,9.0,820633人评价
触不可及,9.2,495623人评价
乱世佳人,9.2,352098人评价
蝙蝠侠：黑暗骑士,9.1,476299人评价
活着,9.2,386094人评价
少年派的奇幻漂流,9.0,761702人评价
天堂电影院,9.1,382730人评价
鬼子来了,9.2,317129人评价
十二怒汉,9.4,227097人评价
控方证人,9.6,160288人评价
指环王3：王者无敌,9.1,379919人评价
天空之城,9.1,444949人评价
搏击俱乐部,9.0,494269人评价
飞屋环游记,8.9,677829人评价
大话西游之月光宝盒,8.9,576852人评价
摔跤吧！爸爸,9.1,708652人评价
罗马假日,9.0,509821人评价
哈尔的移动城堡,9.0,487845人评价
窃听风暴,9.1,303107人评价
闻香识女人,9.0,433338人评价
辩护人,9.2,299310人评价
两杆大烟枪,9.1,338591人评价
飞越疯人院,9.1,341836人评价
死亡诗社,9.0,370103人评价
V字仇杀队,8.8,564315人评价
指环王2：双塔奇兵,9.0,356583人评价
教父2,9.1,253988人评价
海豚湾,9.3,225303人评价
指环王1：魔戒再现,8.9,399353人评价
素媛,9.2,263849人评价
末代皇帝,9.1,278086人评价
饮食男女,9.1,274579人评价
美丽心灵,8.9,393108人评价
情书,8.9,489180人评价
狮子王,8.9,378501人评价
钢琴家,9.1,259310人评价
美国往事,9.1,222987人评价
小鞋子,9.2,189797人评价
本杰明·巴顿奇事,8.8,509974人评价
七宗罪,8.8,539171人评价
西西里的美丽传说,8.8,476906人评价
致命魔术,8.8,444663人评价
看不见的客人,8.7,521104人评价
黑客帝国,8.9,378055人评价
被嫌弃的松子的一生,8.9,393380人评价
让子弹飞,8.7,830785人评价
拯救大兵瑞恩,8.9,323118人评价
大闹天宫,9.3,152275人评价
音乐之声,8.9,298657人评价
哈利·波特与魔法石,8.8,389121人评价
低俗小说,8.8,436896人评价
天使爱美丽,8.7,598280人评价
寻梦环游记,9.0,666772人评价
勇敢的心,8.8,357028人评价
沉默的羔羊,8.8,444324人评价
剪刀手爱德华,8.7,610744人评价
蝴蝶效应,8.7,489638人评价
春光乍泄,8.9,323791人评价
猫鼠游戏,8.8,331140人评价
心灵捕手,8.8,355224人评价
入殓师,8.8,375064人评价
布达佩斯大饭店,8.8,434204人评价
禁闭岛,8.7,471948人评价
幽灵公主,8.8,299122人评价
穿条纹睡衣的男孩,9.0,212152人评价
阳光灿烂的日子,8.8,344462人评价
玛丽和马克思,8.9,271062人评价
第六感,8.8,295308人评价
狩猎,9.1,175852人评价
重庆森林,8.7,421463人评价
致命ID,8.7,408674人评价
断背山,8.7,404668人评价
加勒比海盗,8.7,455692人评价
阿凡达,8.6,686444人评价
摩登时代,9.2,125570人评价
大鱼,8.8,314616人评价
告白,8.7,425878人评价
一一,9.0,191610人评价
射雕英雄传之东成西就,8.7,344058人评价
阳光姐妹淘,8.8,339422人评价
消失的爱人,8.7,464070人评价
甜蜜蜜,8.8,281114人评价
喜剧之王,8.6,431981人评价
爱在黎明破晓前,8.8,285655人评价
小森林 夏秋篇,8.9,190279人评价
